,Department,Teacher_ID,Teacher_Name,Year,Course_ID,Course_Duration,Course_Ressources,Course_Ress_Digit,Course_Ress_inClass,Digitalization_Ressource_Ratio,Digitalization_Ressource_Percent,Number_Video,Number_QCM,Number_Test,Number_Lecture,Number_Exercise,Number_Exam
0,Economy,1,Lenoir,2013,1,14,4,2,2,0.5,50,2,0,0,2,0,0
1,Economy,1,Lenoir,2013,2,22,12,2,10,0.17,17,1,1,0,7,3,0
2,Economy,1,Lenoir,2013,3,17,17,5,12,0.29,29,1,3,1,7,4,1
3,Economy,1,Lenoir,2013,4,15,6,2,4,0.33,33,2,0,0,2,1,1
4,Economy,1,Lenoir,2013,5,37,25,3,22,0.12,12,2,1,0,15,7,0
5,Economy,1,Lenoir,2013,6,19,5,2,3,0.4,40,2,0,0,2,1,0
6,Economy,1,Lenoir,2013,7,20,10,5,5,0.5,50,1,3,1,3,1,1
7,Economy,1,Lenoir,2013,8,11,7,3,4,0.43,43,3,0,0,1,2,1
8,Economy,1,Lenoir,2013,9,6,3,1,2,0.33,33,1,0,0,2,0,0
9,Economy,1,Lenoir,2013,10,16,5,2,3,0.4,40,1,1,0,2,1,0
10,Economy,1,Lenoir,2013,11,30,11,1,10,0.09,9,1,0,0,7,2,1
11,Economy,1,Lenoir,2013,12,18,5,1,4,0.2,20,0,1,0,2,2,0
12,Economy,1,Lenoir,2013,13,24,15,4,11,0.27,27,3,1,0,7,4,0
13,Economy,1,Lenoir,2013,14,9,4,2,2,0.5,50,1,1,0,2,0,0
14,Economy,1,Lenoir,2013,15,10,8,3,5,0.38,38,1,1,1,4,1,0
15,Economy,1,Lenoir,2013,16,25,24,8,16,0.33,33,5,3,0,11,4,1
16,Economy,1,Lenoir,2013,17,8,5,1,4,0.2,20,0,1,0,1,2,1
17,Economy,1,Lenoir,2013,18,5,4,2,2,0.5,50,1,1,0,1,1,0
18,Economy,1,Lenoir,2013,19,56,41,1,40,0.02,2,1,0,0,26,12,2
19,Economy,1,Lenoir,2013,20,27,17,4,13,0.24,24,1,2,1,8,4,1
20,Economy,2,Gile,2013,21,50,16,0,16,0.0,0,0,0,0,11,4,1
21,Economy,2,Gile,2013,22,12,10,1,9,0.1,10,1,0,0,6,3,0
22,Economy,2,Gile,2013,23,51,48,24,24,0.5,50,13,10,1,14,8,2
23,Economy,2,Gile,2013,24,32,18,5,13,0.28,28,2,3,0,9,3,1
24,Economy,2,Gile,2013,25,13,9,3,6,0.33,33,1,1,1,3,2,1
25,Economy,2,Gile,2013,26,28,12,3,9,0.25,25,3,0,0,5,3,1
26,Economy,2,Gile,2013,27,39,14,2,12,0.14,14,1,1,0,8,4,0
27,Economy,2,Gile,2013,28,35,20,7,13,0.35,35,2,4,1,9,4,0
28,Economy,2,Gile,2013,29,28,12,5,7,0.42,42,1,3,1,5,2,0
29,Economy,2,Gile,2013,30,39,27,3,24,0.11,11,1,2,0,16,7,1
30,Economy,2,Gile,2013,31,21,14,2,12,0.14,14,1,1,0,8,3,1
31,Economy,2,Gile,2013,32,21,7,2,5,0.29,29,2,0,0,3,1,1
32,Economy,3,Detienne,2013,33,46,35,4,31,0.11,11,1,2,1,20,9,2
33,Economy,3,Detienne,2013,34,8,5,2,3,0.4,40,2,0,0,2,1,0
34,Economy,3,Detienne,2013,35,21,15,5,10,0.33,33,1,3,1,6,3,1
35,Economy,3,Detienne,2013,36,33,23,3,20,0.13,13,3,0,0,13,6,1
36,Economy,3,Detienne,2013,37,36,23,3,20,0.13,13,1,2,0,13,6,1
37,Economy,3,Detienne,2013,38,15,15,4,11,0.27,27,1,2,1,6,4,1
38,Economy,3,Detienne,2013,39,22,15,8,7,0.53,53,3,4,1,5,2,0
39,Economy,3,Detienne,2013,40,26,11,5,6,0.45,45,3,1,1,4,1,1
40,Economy,3,Detienne,2013,41,12,5,2,3,0.4,40,2,0,0,1,1,1
41,Economy,3,Detienne,2013,42,12,5,1,4,0.2,20,1,0,0,1,2,1
42,Economy,3,Detienne,2013,43,14,13,2,11,0.15,15,1,1,0,8,3,0
43,Economy,3,Detienne,2013,44,17,7,3,4,0.43,43,1,1,1,2,2,0
44,Economy,3,Detienne,2013,45,19,8,3,5,0.38,38,1,2,0,2,2,1
45,Economy,3,Detienne,2013,46,8,5,2,3,0.4,40,1,1,0,2,1,0
46,Economy,3,Detienne,2013,47,44,17,6,11,0.35,35,4,1,1,8,2,1
47,Economy,3,Detienne,2013,48,33,20,9,11,0.45,45,4,4,1,8,3,0
48,Economy,4,Deville,2013,49,35,29,8,21,0.28,28,4,4,0,13,7,1
49,Economy,4,Deville,2013,50,23,13,3,10,0.23,23,1,2,0,7,3,0
50,Economy,4,Deville,2013,51,8,4,2,2,0.5,50,2,0,0,1,1,0
51,Economy,4,Deville,2013,52,18,16,2,14,0.12,12,1,1,0,10,4,0
52,Economy,4,Deville,2013,53,7,3,2,1,0.67,67,2,0,0,1,0,0
53,Economy,4,Deville,2013,54,36,22,1,21,0.05,5,0,1,0,14,5,2
54,Economy,4,Deville,2013,55,40,39,9,30,0.23,23,7,1,1,19,9,2
55,Economy,4,Deville,2013,56,13,12,1,11,0.08,8,1,0,0,8,3,0
56,Economy,4,Deville,2013,57,19,14,3,11,0.21,21,1,2,0,8,3,0
57,Economy,5,St. Jean,2013,58,26,18,8,10,0.44,44,6,2,0,6,3,1
58,Economy,5,St. Jean,2013,59,41,22,2,20,0.09,9,1,1,0,13,6,1
59,Economy,5,St. Jean,2013,60,39,17,4,13,0.24,24,2,2,0,9,3,1
60,Economy,5,St. Jean,2013,61,36,36,7,29,0.19,19,5,2,0,19,9,1
61,Economy,5,St. Jean,2013,62,31,15,3,12,0.2,20,1,1,1,7,4,1
62,Economy,5,St. Jean,2013,63,6,2,1,1,0.5,50,1,0,0,1,0,0
63,Economy,5,St. Jean,2013,64,37,19,3,16,0.16,16,1,1,1,11,5,0
64,Economy,5,St. Jean,2013,65,9,9,3,6,0.33,33,1,1,1,4,1,1
65,Economy,5,St. Jean,2013,66,32,18,9,9,0.5,50,6,2,1,6,2,1
66,Economy,5,St. Jean,2013,67,7,7,2,5,0.29,29,2,0,0,2,2,1
67,Economy,5,St. Jean,2013,68,14,14,1,13,0.07,7,0,1,0,9,4,0
68,Economy,5,St. Jean,2013,69,28,27,9,18,0.33,33,4,5,0,11,6,1
69,Economy,5,St. Jean,2013,70,5,5,1,4,0.2,20,0,1,0,3,1,0
70,Economy,5,St. Jean,2013,71,35,35,1,34,0.03,3,1,0,0,23,11,0
71,Economy,5,St. Jean,2013,72,6,3,1,2,0.33,33,0,1,0,2,0,0
72,Economy,5,St. Jean,2013,73,28,24,12,12,0.5,50,7,4,1,8,3,1
73,Engineering,6,Paley,2013,74,39,36,5,31,0.14,14,2,2,1,21,10,0
74,Engineering,6,Paley,2013,75,8,3,2,1,0.67,67,2,0,0,0,1,0
75,Engineering,6,Paley,2013,76,34,20,7,13,0.35,35,4,2,1,9,4,0
76,Engineering,6,Paley,2013,77,7,5,3,2,0.6,60,2,1,0,2,0,0
77,Engineering,6,Paley,2013,78,32,11,4,7,0.36,36,2,1,1,4,2,1
78,Engineering,6,Paley,2013,79,17,14,3,11,0.21,21,2,1,0,7,4,0
79,Engineering,6,Paley,2013,80,50,41,3,38,0.07,7,2,1,0,25,11,2
80,Engineering,6,Paley,2013,81,10,10,3,7,0.3,30,1,2,0,4,3,0
81,Engineering,6,Paley,2013,82,9,8,4,4,0.5,50,3,1,0,3,1,0
82,Engineering,6,Paley,2013,83,14,12,6,6,0.5,50,3,3,0,3,2,1
83,Engineering,6,Paley,2013,84,11,4,1,3,0.25,25,1,0,0,1,1,1
84,Engineering,6,Paley,2013,85,20,19,6,13,0.32,32,5,1,0,8,4,1
85,Engineering,6,Paley,2013,86,37,33,12,21,0.36,36,6,4,2,13,6,2
86,Engineering,6,Paley,2013,87,49,25,5,20,0.2,20,3,1,1,13,6,1
87,Engineering,6,Paley,2013,88,27,11,4,7,0.36,36,2,1,1,4,2,1
88,Engineering,6,Paley,2013,89,30,14,6,8,0.43,43,3,3,0,5,3,0
89,Engineering,7,Marotte,2013,90,31,27,13,14,0.48,48,5,7,1,10,3,1
90,Engineering,7,Marotte,2013,91,28,9,2,7,0.22,22,2,0,0,3,3,1
91,Engineering,7,Marotte,2013,92,55,27,13,14,0.48,48,6,7,0,9,5,0
92,Engineering,7,Marotte,2013,93,15,10,5,5,0.5,50,2,2,1,3,2,0
93,Engineering,7,Marotte,2013,94,53,22,5,17,0.23,23,4,1,0,12,5,0
94,Engineering,7,Marotte,2013,95,13,8,3,5,0.38,38,1,1,1,2,2,1
95,Engineering,7,Marotte,2013,96,27,16,6,10,0.38,38,4,1,1,7,3,0
96,Engineering,7,Marotte,2013,97,29,14,3,11,0.21,21,1,1,1,7,4,0
97,Engineering,7,Marotte,2013,98,11,9,1,8,0.11,11,1,0,0,5,2,1
98,Engineering,7,Marotte,2013,99,15,11,5,6,0.45,45,2,2,1,4,1,1
99,Engineering,7,Marotte,2013,100,23,22,5,17,0.23,23,3,2,0,11,6,0
100,Engineering,7,Marotte,2013,101,24,9,4,5,0.44,44,2,2,0,4,1,0
101,Engineering,7,Marotte,2013,102,38,38,2,36,0.05,5,1,1,0,24,11,1
102,Engineering,7,Marotte,2013,103,18,14,7,7,0.5,50,3,3,1,4,2,1
103,Engineering,8,Constantineau,2013,104,22,22,1,21,0.05,5,1,0,0,12,7,2
104,Engineering,8,Constantineau,2013,105,15,10,4,6,0.4,40,1,2,1,4,2,0
105,Engineering,8,Constantineau,2013,106,8,5,1,4,0.2,20,1,0,0,2,2,0
106,Engineering,8,Constantineau,2013,107,38,33,3,30,0.09,9,1,2,0,20,9,1
107,Engineering,8,Constantineau,2013,108,22,6,3,3,0.5,50,3,0,0,2,1,0
108,Engineering,8,Constantineau,2013,109,55,37,2,35,0.05,5,2,0,0,23,10,2
109,Engineering,8,Constantineau,2013,110,6,2,1,1,0.5,50,0,1,0,0,1,0
110,Engineering,8,Constantineau,2013,111,29,11,4,7,0.36,36,2,2,0,5,2,0
111,Engineering,9,Berry,2013,112,38,13,6,7,0.46,46,3,2,1,5,1,1
112,Engineering,9,Berry,2013,113,40,32,10,22,0.31,31,7,3,0,13,7,2
113,Engineering,9,Berry,2013,114,6,6,3,3,0.5,50,1,2,0,2,1,0
114,Engineering,9,Berry,2013,115,23,16,2,14,0.12,12,1,1,0,10,4,0
115,Engineering,9,Berry,2013,116,15,7,1,6,0.14,14,0,1,0,4,2,0
116,Engineering,9,Berry,2013,117,27,12,5,7,0.42,42,3,1,1,4,2,1
117,Engineering,9,Berry,2013,118,50,49,14,35,0.29,29,10,4,0,23,10,2
118,Engineering,9,Berry,2013,119,52,39,11,28,0.28,28,6,3,2,18,8,2
119,Engineering,9,Berry,2013,120,7,2,1,1,0.5,50,0,1,0,1,0,0
120,Engineering,9,Berry,2013,121,9,4,1,3,0.25,25,1,0,0,2,1,0
121,Engineering,9,Berry,2013,122,56,35,16,19,0.46,46,12,3,1,13,6,0
122,Engineering,9,Berry,2013,123,9,9,3,6,0.33,33,1,1,1,4,2,0
123,Engineering,9,Berry,2013,124,10,3,2,1,0.67,67,2,0,0,1,0,0
124,Engineering,9,Berry,2013,125,35,32,1,31,0.03,3,1,0,0,20,10,1
125,Engineering,10,Pierron,2013,126,13,13,6,7,0.46,46,2,3,1,5,1,1
126,Engineering,10,Pierron,2013,127,7,3,1,2,0.33,33,1,0,0,2,0,0
127,Engineering,10,Pierron,2013,128,8,7,2,5,0.29,29,2,0,0,2,2,1
128,Engineering,10,Pierron,2013,129,15,5,3,2,0.6,60,2,1,0,1,1,0
129,Engineering,10,Pierron,2013,130,33,20,7,13,0.35,35,3,3,1,8,4,1
130,Engineering,10,Pierron,2013,131,15,6,1,5,0.17,17,1,0,0,3,2,0
131,Engineering,10,Pierron,2013,132,29,18,7,11,0.39,39,5,1,1,6,4,1
132,Engineering,10,Pierron,2013,133,25,25,3,22,0.12,12,2,1,0,15,7,0
133,Engineering,10,Pierron,2013,134,24,14,7,7,0.5,50,3,3,1,4,3,0
134,Engineering,10,Pierron,2013,135,12,4,1,3,0.25,25,0,1,0,2,1,0
135,Engineering,10,Pierron,2013,136,27,9,1,8,0.11,11,0,1,0,5,3,0
136,Engineering,10,Pierron,2013,137,19,11,3,8,0.27,27,3,0,0,4,3,1
137,Engineering,10,Pierron,2013,138,14,9,4,5,0.44,44,1,2,1,4,1,0
138,Engineering,10,Pierron,2013,139,9,5,1,4,0.2,20,1,0,0,2,2,0
139,Engineering,10,Pierron,2013,140,54,27,10,17,0.37,37,6,3,1,11,6,0
140,Engineering,10,Pierron,2013,141,22,7,3,4,0.43,43,1,2,0,2,1,1
141,Engineering,10,Pierron,2013,142,29,19,3,16,0.16,16,1,2,0,11,5,0
142,Engineering,10,Pierron,2013,143,24,11,4,7,0.36,36,3,1,0,5,2,0
143,Engineering,11,Levert,2013,144,7,6,2,4,0.33,33,2,0,0,1,2,1
144,Engineering,11,Levert,2013,145,6,2,1,1,0.5,50,0,1,0,1,0,0
145,Engineering,11,Levert,2013,146,13,10,1,9,0.1,10,1,0,0,6,3,0
146,Engineering,11,Levert,2013,147,11,5,1,4,0.2,20,1,0,0,2,1,1
147,Engineering,11,Levert,2013,148,31,13,7,6,0.54,54,5,1,1,3,2,1
148,Engineering,11,Levert,2013,149,42,42,3,39,0.07,7,1,1,1,25,12,2
149,Engineering,11,Levert,2013,150,13,11,2,9,0.18,18,1,1,0,5,3,1
150,Engineering,11,Levert,2013,151,40,11,3,8,0.27,27,2,1,0,6,2,0
151,Engineering,11,Levert,2013,152,11,3,2,1,0.67,67,2,0,0,1,0,0
152,Engineering,11,Levert,2013,153,14,8,3,5,0.38,38,1,1,1,3,2,0
153,Engineering,11,Levert,2013,154,20,20,4,16,0.2,20,1,2,1,11,5,0
154,Engineering,11,Levert,2013,155,11,6,1,5,0.17,17,1,0,0,3,2,0
155,Engineering,11,Levert,2013,156,7,5,2,3,0.4,40,2,0,0,1,1,1
156,Engineering,11,Levert,2013,157,8,6,1,5,0.17,17,0,1,0,3,1,1
157,Engineering,11,Levert,2013,158,27,7,1,6,0.14,14,0,1,0,4,1,1
158,Engineering,11,Levert,2013,159,42,42,1,41,0.02,2,1,0,0,27,12,2
159,Engineering,11,Levert,2013,160,25,12,5,7,0.42,42,1,3,1,5,1,1
160,Engineering,11,Levert,2013,161,9,9,1,8,0.11,11,0,1,0,6,2,0
161,Engineering,11,Levert,2013,162,13,4,2,2,0.5,50,2,0,0,2,0,0
162,Engineering,11,Levert,2013,163,9,9,2,7,0.22,22,2,0,0,4,2,1
163,Engineering,11,Levert,2013,164,5,5,2,3,0.4,40,2,0,0,2,1,0
164,Engineering,11,Levert,2013,165,27,21,4,17,0.19,19,3,1,0,10,6,1
165,Art,12,Gail,2013,166,40,24,9,15,0.38,38,7,2,0,10,5,0
166,Art,12,Gail,2013,167,16,7,3,4,0.43,43,2,1,0,2,2,0
167,Art,12,Gail,2013,168,13,5,3,2,0.6,60,1,1,1,2,0,0
168,Art,12,Gail,2013,169,30,25,1,24,0.04,4,1,0,0,16,6,2
169,Art,12,Gail,2013,170,46,21,10,11,0.48,48,6,4,0,6,4,1
170,Art,12,Gail,2013,171,32,32,11,21,0.34,34,4,5,2,14,5,2
171,Art,12,Gail,2013,172,42,37,4,33,0.11,11,3,1,0,21,10,2
172,Art,12,Gail,2013,173,6,3,1,2,0.33,33,1,0,0,2,0,0
173,Art,12,Gail,2013,174,34,9,2,7,0.22,22,2,0,0,5,2,0
174,Art,12,Gail,2013,175,11,6,3,3,0.5,50,1,1,1,2,1,0
175,Art,12,Gail,2013,176,13,6,3,3,0.5,50,1,2,0,1,1,1
176,Art,12,Gail,2013,177,18,8,4,4,0.5,50,2,2,0,1,2,1
177,Art,12,Gail,2013,178,27,12,2,10,0.17,17,1,1,0,6,3,1
178,Art,12,Gail,2013,179,5,5,1,4,0.2,20,1,0,0,2,1,1
179,Art,12,Gail,2013,180,6,2,1,1,0.5,50,0,1,0,0,1,0
180,Art,12,Gail,2013,181,27,16,2,14,0.12,12,2,0,0,10,4,0
181,Art,13,Bonne,2013,182,34,23,4,19,0.17,17,1,2,1,13,5,1
182,Art,13,Bonne,2013,183,28,8,1,7,0.12,12,0,1,0,4,3,0
183,Art,13,Bonne,2013,184,40,24,4,20,0.17,17,1,2,1,13,6,1
184,Art,13,Bonne,2013,185,32,32,8,24,0.25,25,3,4,1,15,8,1
185,Art,13,Bonne,2013,186,19,14,3,11,0.21,21,2,1,0,6,4,1
186,Art,13,Bonne,2013,187,9,6,3,3,0.5,50,1,1,1,1,1,1
187,Art,13,Bonne,2013,188,10,4,1,3,0.25,25,1,0,0,2,1,0
188,Art,13,Bonne,2013,189,8,5,1,4,0.2,20,0,1,0,2,2,0
189,Art,13,Bonne,2013,190,34,30,5,25,0.17,17,3,1,1,17,7,1
190,Art,13,Bonne,2013,191,14,10,4,6,0.4,40,3,1,0,4,2,0
191,Art,13,Bonne,2013,192,47,15,2,13,0.13,13,2,0,0,9,3,1
192,Art,13,Bonne,2013,193,37,31,4,27,0.13,13,2,2,0,18,8,1
