,Universite,Departement,Teacher_ID,Teacher_Name,Teacher_Gender,Teacher_Seniority,Teacher_Digit,Teacher_Ress
0,Angers,Droit,1,Olive,Homme,Plus de 15 ans,0,Jamais
1,Angers,Droit,2,Dubuque,Femme,Entre 5 et 15 ans,15.83,Au cours de l'année 2020 à 2021
2,Angers,Droit,3,Tite,Femme,Entre 5 et 15 ans,0,Jamais
3,Angers,Droit,4,Rivest,Femme,Moins de 5 ans,17.12,Au cours de l'année 2020 à 2021
4,Angers,Droit,5,Pierre-Louis,Femme,Plus de 15 ans,0,Jamais
5,Angers,Droit,6,Dupre,Femme,Moins de 5 ans,16.16,Au cours des années 2018 à 2020
6,Angers,Droit,7,Manier,Femme,Plus de 15 ans,21.11,Au cours des années 2018 à 2020
7,Angers,Droit,8,Boutin,Femme,Entre 5 et 15 ans,11.36,Au cours de l'année 2020 à 2021
8,Angers,Droit,9,Buche,Homme,Entre 5 et 15 ans,42.12,Au cours de l'année 2020 à 2021
9,Angers,Droit,10,Thibeault,Femme,Entre 5 et 15 ans,29.51,Au cours des années 2018 à 2020
10,Angers,Droit,11,Melsheimer,Femme,Plus de 15 ans,10.44,Antérieure à 2018
11,Angers,Droit,12,Char,Femme,Moins de 5 ans,11.15,Au cours des années 2018 à 2020
12,Angers,Droit,13,Salois,Femme,Entre 5 et 15 ans,22.7,Au cours de l'année 2020 à 2021
13,Angers,Droit,14,Lary,Femme,Entre 5 et 15 ans,0,Jamais
14,Angers,Droit,15,Valleau,Femme,Entre 5 et 15 ans,16.76,Au cours de l'année 2020 à 2021
15,Angers,Droit,16,Hache,Femme,Moins de 5 ans,14.51,Au cours des années 2018 à 2020
16,Angers,Droit,17,Leflore,Femme,Plus de 15 ans,15.96,Antérieure à 2018
17,Angers,Droit,18,Poupard,Homme,Moins de 5 ans,27.07,Au cours de l'année 2020 à 2021
18,Angers,Droit,19,Siron,Homme,Plus de 15 ans,34.13,Antérieure à 2018
19,Angers,Droit,20,Pruette,Femme,Entre 5 et 15 ans,17.31,Au cours des années 2018 à 2020
20,Angers,Droit,21,Agard,Homme,Entre 5 et 15 ans,0,Jamais
21,Angers,Droit,22,Boudoin,Femme,Entre 5 et 15 ans,11.25,Au cours des années 2018 à 2020
22,Angers,Droit,23,Gougeon,Femme,Entre 5 et 15 ans,14.72,Au cours de l'année 2020 à 2021
23,Angers,Droit,24,Gibeault,Femme,Moins de 5 ans,24.7,Au cours de l'année 2020 à 2021
24,Angers,Droit,25,Kirouac,Femme,Plus de 15 ans,0,Jamais
25,Angers,Droit,26,Brochu,Femme,Moins de 5 ans,27.58,Au cours de l'année 2020 à 2021
26,Angers,Droit,27,Jumonville,Non Spécifié,Entre 5 et 15 ans,17.87,Au cours des années 2018 à 2020
27,Angers,Droit,28,Justin,Femme,Moins de 5 ans,20.88,Au cours des années 2018 à 2020
28,Angers,Droit,29,Contois,Homme,Entre 5 et 15 ans,26.28,Au cours de l'année 2020 à 2021
29,Angers,Droit,30,Petre,Homme,Plus de 15 ans,21.77,Antérieure à 2018
30,Angers,Droit,31,Decelle,Femme,Entre 5 et 15 ans,24.17,Au cours de l'année 2020 à 2021
31,Angers,Droit,32,Gladieux,Homme,Entre 5 et 15 ans,21.54,Au cours de l'année 2020 à 2021
32,Angers,Droit,33,Simien,Femme,Moins de 5 ans,26.61,Antérieure à 2018
33,Angers,Droit,34,Gant,Non Spécifié,Entre 5 et 15 ans,20.75,Au cours de l'année 2020 à 2021
34,Angers,Droit,35,Barre,Femme,Entre 5 et 15 ans,20.2,Au cours de l'année 2020 à 2021
35,Angers,Droit,36,Gros,Femme,Plus de 15 ans,27.77,Antérieure à 2018
36,Angers,Droit,37,Giraud,Homme,Plus de 15 ans,39.5,Antérieure à 2018
37,Angers,Droit,38,St. Jacques,Femme,Plus de 15 ans,0,Jamais
38,Angers,Droit,39,Georger,Homme,Plus de 15 ans,47.5,Antérieure à 2018
39,Angers,Droit,40,Savant,Non Spécifié,Entre 5 et 15 ans,28.31,Au cours de l'année 2020 à 2021
40,Angers,Droit,41,Monier,Femme,Entre 5 et 15 ans,16.99,Au cours de l'année 2020 à 2021
41,Angers,Droit,42,Ducharme,Femme,Plus de 15 ans,21.66,Antérieure à 2018
42,Angers,Droit,43,Depace,Femme,Entre 5 et 15 ans,22.99,Au cours des années 2018 à 2020
43,Angers,Droit,44,Baise,Femme,Entre 5 et 15 ans,21.41,Au cours de l'année 2020 à 2021
44,Angers,Droit,45,Viger,Homme,Entre 5 et 15 ans,0,Jamais
45,Angers,Droit,46,Davy,Femme,Entre 5 et 15 ans,24.46,Antérieure à 2018
46,Angers,Droit,47,Sonnier,Femme,Plus de 15 ans,24.14,Au cours des années 2018 à 2020
47,Angers,Droit,48,Chayer,Homme,Moins de 5 ans,32.86,Au cours de l'année 2020 à 2021
48,Angers,Droit,49,Depas,Homme,Entre 5 et 15 ans,24.1,Au cours des années 2018 à 2020
49,Angers,Droit,50,Perron,Femme,Plus de 15 ans,0,Jamais
50,Angers,Droit,51,Lebaron,Femme,Entre 5 et 15 ans,0,Jamais
51,Angers,Droit,52,Debauche,Femme,Plus de 15 ans,0,Jamais
52,Angers,Droit,53,Laroque,Femme,Entre 5 et 15 ans,15.68,Au cours de l'année 2020 à 2021
53,Angers,Droit,54,Bilodeau,Femme,Plus de 15 ans,0,Jamais
54,Angers,Droit,55,Lamey,Femme,Plus de 15 ans,0,Jamais
55,Angers,Droit,56,Thiery,Homme,Moins de 5 ans,27.53,Au cours de l'année 2020 à 2021
56,Angers,Droit,57,Arnoult,Femme,Plus de 15 ans,24.78,Antérieure à 2018
57,Angers,Droit,58,Rebert,Femme,Moins de 5 ans,25.13,Antérieure à 2018
58,Angers,Droit,59,Coutant,Femme,Entre 5 et 15 ans,25.51,Antérieure à 2018
59,Angers,Droit,60,Helin,Femme,Plus de 15 ans,0,Jamais
60,Angers,Droit,61,Hayer,Homme,Entre 5 et 15 ans,0,Jamais
61,Angers,Droit,62,Dallaire,Non Spécifié,Entre 5 et 15 ans,0,Jamais
62,Angers,Droit,63,Comte,Femme,Plus de 15 ans,0,Jamais
63,Angers,Droit,64,Levesque,Femme,Entre 5 et 15 ans,10.9,Au cours des années 2018 à 2020
64,Angers,Droit,65,Portier,Femme,Plus de 15 ans,20.38,Antérieure à 2018
65,Angers,Droit,66,Lasalle,Homme,Moins de 5 ans,27.59,Au cours de l'année 2020 à 2021
66,Angers,Droit,67,Thelin,Femme,Plus de 15 ans,27.26,Antérieure à 2018
67,Angers,Droit,68,Ranson,Femme,Plus de 15 ans,0,Jamais
68,Angers,Droit,69,Papa,Femme,Plus de 15 ans,0,Jamais
69,Angers,Droit,70,Pauline,Femme,Entre 5 et 15 ans,22.14,Au cours de l'année 2020 à 2021
70,Angers,Droit,71,Marion,Homme,Entre 5 et 15 ans,36.94,Au cours de l'année 2020 à 2021
71,Angers,Droit,72,Beaudry,Homme,Entre 5 et 15 ans,21.48,Au cours des années 2018 à 2020
72,Angers,Droit,73,Lovette,Femme,Entre 5 et 15 ans,21.4,Au cours des années 2018 à 2020
73,Angers,Droit,74,Malette,Femme,Plus de 15 ans,0,Jamais
74,Angers,Droit,75,Chapelle,Non Spécifié,Entre 5 et 15 ans,18.77,Au cours de l'année 2020 à 2021
75,Angers,Histoire,76,Jean-Louis,Homme,Plus de 15 ans,14.03,Au cours de l'année 2020 à 2021
76,Angers,Histoire,77,Landes,Homme,Entre 5 et 15 ans,12.86,Antérieure à 2018
77,Angers,Histoire,78,Bonnet,Femme,Entre 5 et 15 ans,29.26,Antérieure à 2018
78,Angers,Histoire,79,Denard,Femme,Plus de 15 ans,12.81,Antérieure à 2018
79,Angers,Histoire,80,Roulhac,Femme,Moins de 5 ans,23.89,Au cours de l'année 2020 à 2021
80,Angers,Histoire,81,Thibodeau,Homme,Entre 5 et 15 ans,21.82,Au cours de l'année 2020 à 2021
81,Angers,Histoire,82,Tustin,Femme,Entre 5 et 15 ans,13.04,Antérieure à 2018
82,Angers,Histoire,83,Proveaux,Homme,Moins de 5 ans,26.43,Antérieure à 2018
83,Angers,Histoire,84,Cancienne,Homme,Entre 5 et 15 ans,27.75,Au cours de l'année 2020 à 2021
84,Angers,Histoire,85,Gamet,Femme,Moins de 5 ans,19.91,Au cours de l'année 2020 à 2021
