,Departement,Teacher_ID,Teacher_Name,Year,Course_ID,Course_Duration,Course_Resources,Course_Ress_Digit,Course_Ress_inClass,Digitalization_Ressource_Ratio,Digitalization_Ressource_Percent,Department,Number_Video,Number_QCM,Number_Test,Number_Lecture,Number_Exercise,Number_Exam
0,Philosophie,1,Bussiere,2013,1,8,3,1,2,0.33,33,Philosophy,0,1,0,1,1,0
1,Philosophie,1,Bussiere,2013,2,35,22,4,18,0.18,18,Philosophy,1,2,1,12,5,1
2,Philosophie,1,Bussiere,2013,3,7,2,1,1,0.5,50,Philosophy,0,1,0,0,1,0
3,Philosophie,1,Bussiere,2013,4,30,19,1,18,0.05,5,Philosophy,1,0,0,12,5,1
4,Philosophie,1,Bussiere,2013,5,32,13,3,10,0.23,23,Philosophy,1,2,0,6,3,1
5,Philosophie,1,Bussiere,2013,6,18,12,2,10,0.17,17,Philosophy,2,0,0,7,3,0
6,Philosophie,1,Bussiere,2013,7,36,25,19,6,0.76,76,Philosophy,8,10,1,3,2,1
7,Philosophie,1,Bussiere,2013,8,30,21,3,18,0.14,14,Philosophy,1,2,0,12,6,0
8,Philosophie,1,Bussiere,2013,9,28,19,3,16,0.16,16,Philosophy,2,1,0,11,4,1
9,Philosophie,1,Bussiere,2013,10,30,24,3,21,0.12,12,Philosophy,1,1,1,14,6,1
10,Philosophie,1,Bussiere,2013,11,38,21,2,19,0.1,10,Philosophy,2,0,0,12,6,1
11,Philosophie,1,Bussiere,2013,12,37,18,2,16,0.11,11,Philosophy,1,1,0,11,5,0
12,Philosophie,1,Bussiere,2013,13,12,8,2,6,0.25,25,Philosophy,2,0,0,4,1,1
13,Philosophie,1,Bussiere,2013,14,7,2,1,1,0.5,50,Philosophy,1,0,0,0,1,0
14,Philosophie,1,Bussiere,2013,15,7,5,1,4,0.2,20,Philosophy,1,0,0,1,2,1
15,Philosophie,1,Bussiere,2013,16,17,12,2,10,0.17,17,Philosophy,2,0,0,6,3,1
16,Philosophie,2,Garceau,2013,17,20,8,2,6,0.25,25,Philosophy,2,0,0,4,1,1
17,Philosophie,2,Garceau,2013,18,10,4,1,3,0.25,25,Philosophy,1,0,0,2,1,0
18,Philosophie,2,Garceau,2013,19,26,8,1,7,0.12,12,Philosophy,1,0,0,3,3,1
