,Teacher_ID,Teacher_Name,Department,Year,Course_ID,Course_Duration,Course_Digit,Course_Present,Digit_Ratio,Digit_Percentage,Digitalization
0,1,Michelin,Languages,2013,1,15,6,9,0.39,39,Medium-Low Digitalization
8,1,Michelin,Languages,2013,2,49,2,47,0.05,5,Low Digitalization
16,1,Michelin,Languages,2013,3,46,9,37,0.19,19,Low Digitalization
24,1,Michelin,Languages,2013,4,28,13,15,0.48,48,Medium-Low Digitalization
32,1,Michelin,Languages,2013,5,30,4,26,0.13,13,Low Digitalization
40,1,Michelin,Languages,2013,6,5,0,5,0.08,8,Low Digitalization
48,1,Michelin,Languages,2013,7,14,5,9,0.34,34,Medium-Low Digitalization
56,1,Michelin,Languages,2013,8,15,5,10,0.31,31,Medium-Low Digitalization
64,1,Michelin,Languages,2013,9,36,10,26,0.29,28,Medium-Low Digitalization
72,1,Michelin,Languages,2013,10,16,8,8,0.47,47,Medium-Low Digitalization
80,1,Michelin,Languages,2013,11,60,3,57,0.05,5,Low Digitalization
88,1,Michelin,Languages,2013,12,26,7,19,0.27,27,Medium-Low Digitalization
96,1,Michelin,Languages,2013,13,5,1,4,0.11,11,Low Digitalization
104,1,Michelin,Languages,2013,14,15,2,13,0.12,12,Low Digitalization
112,1,Michelin,Languages,2013,15,38,0,38,0.01,1,Low Digitalization
120,2,Pinsonneault,Languages,2013,16,5,1,4,0.24,24,Medium-Low Digitalization
128,2,Pinsonneault,Languages,2013,17,32,4,28,0.14,14,Low Digitalization
136,2,Pinsonneault,Languages,2013,18,11,0,11,0.03,3,Low Digitalization
144,2,Pinsonneault,Languages,2013,19,8,1,7,0.14,14,Low Digitalization
152,2,Pinsonneault,Languages,2013,20,17,0,17,0.02,2,Low Digitalization
160,2,Pinsonneault,Languages,2013,21,9,4,5,0.41,41,Medium-Low Digitalization
168,2,Pinsonneault,Languages,2013,22,15,0,15,0.02,2,Low Digitalization
176,2,Pinsonneault,Languages,2013,23,27,10,17,0.36,36,Medium-Low Digitalization
184,2,Pinsonneault,Languages,2013,24,5,1,4,0.2,20,Low Digitalization
192,2,Pinsonneault,Languages,2013,25,25,11,14,0.44,44,Medium-Low Digitalization
200,2,Pinsonneault,Languages,2013,26,49,0,49,0.01,1,Low Digitalization
208,2,Pinsonneault,Languages,2013,27,37,7,30,0.18,18,Low Digitalization
216,2,Pinsonneault,Languages,2013,28,36,14,22,0.38,38,Medium-Low Digitalization
