Teacher_ID,Teacher_Name,Department,Year,Course_ID,Course_Duration,Course_Digit,Course_Present,Digit_Ratio,Digit_Percentage,Digitalization
37,Gayton,Management,2013,499,26,3,23,0.12,12,Low Digitalization
37,Gayton,Management,2013,500,14,3,11,0.23,23,Medium-Low Digitalization
37,Gayton,Management,2013,501,7,4,4,0.5,50,Medium-Low Digitalization
37,Gayton,Management,2013,502,6,0,6,0.03,3,Low Digitalization
37,Gayton,Management,2013,503,36,11,25,0.31,31,Medium-Low Digitalization
37,Gayton,Management,2013,504,6,1,5,0.13,13,Low Digitalization
37,Gayton,Management,2013,505,34,4,30,0.12,12,Low Digitalization
37,Gayton,Management,2013,506,11,1,10,0.11,11,Low Digitalization
37,Gayton,Management,2013,507,7,3,4,0.47,47,Medium-Low Digitalization
37,Gayton,Management,2013,508,16,2,14,0.13,13,Low Digitalization
37,Gayton,Management,2013,509,39,10,29,0.26,26,Medium-Low Digitalization
37,Gayton,Management,2013,510,24,8,16,0.33,33,Medium-Low Digitalization
37,Gayton,Management,2013,511,40,20,20,0.5,50,Medium-Low Digitalization
37,Gayton,Management,2013,512,7,0,7,0.0,0,Low Digitalization
37,Gayton,Management,2013,513,32,9,23,0.27,27,Medium-Low Digitalization
37,Gayton,Management,2013,514,34,14,20,0.41,41,Medium-Low Digitalization
37,Gayton,Management,2013,515,32,8,24,0.26,26,Medium-Low Digitalization
38,Tally,Management,2013,516,10,4,6,0.36,36,Medium-Low Digitalization
38,Tally,Management,2013,517,33,15,18,0.45,45,Medium-Low Digitalization
38,Tally,Management,2013,518,24,6,18,0.24,24,Medium-Low Digitalization
38,Tally,Management,2013,519,40,7,33,0.17,17,Low Digitalization
38,Tally,Management,2013,520,17,0,17,0.01,1,Low Digitalization
38,Tally,Management,2013,521,17,6,11,0.34,34,Medium-Low Digitalization
38,Tally,Management,2013,522,23,7,16,0.32,32,Medium-Low Digitalization
38,Tally,Management,2013,523,33,4,29,0.12,12,Low Digitalization
38,Tally,Management,2013,524,27,1,26,0.02,2,Low Digitalization
38,Tally,Management,2013,525,31,1,30,0.02,2,Low Digitalization
38,Tally,Management,2013,526,25,9,16,0.35,35,Medium-Low Digitalization
38,Tally,Management,2013,527,8,1,7,0.16,16,Low Digitalization
38,Tally,Management,2013,528,23,6,17,0.24,24,Medium-Low Digitalization
38,Tally,Management,2013,529,54,10,44,0.19,19,Low Digitalization
39,Munier,Management,2013,530,19,3,16,0.17,17,Low Digitalization
39,Munier,Management,2013,531,40,4,36,0.09,9,Low Digitalization
39,Munier,Management,2013,532,40,4,36,0.11,11,Low Digitalization
39,Munier,Management,2013,533,29,6,23,0.2,20,Low Digitalization
39,Munier,Management,2013,534,15,0,15,0.03,3,Low Digitalization
39,Munier,Management,2013,535,31,10,21,0.33,33,Medium-Low Digitalization
39,Munier,Management,2013,536,24,7,17,0.31,31,Medium-Low Digitalization
40,Pleau,Management,2013,537,14,3,11,0.24,24,Medium-Low Digitalization
40,Pleau,Management,2013,538,30,1,29,0.03,3,Low Digitalization
40,Pleau,Management,2013,539,36,17,19,0.46,46,Medium-Low Digitalization
40,Pleau,Management,2013,540,26,12,14,0.48,48,Medium-Low Digitalization
40,Pleau,Management,2013,541,10,5,5,0.5,50,Medium-Low Digitalization
40,Pleau,Management,2013,542,9,3,6,0.28,28,Medium-Low Digitalization
40,Pleau,Management,2013,543,20,6,14,0.29,28,Medium-Low Digitalization
40,Pleau,Management,2013,544,11,1,10,0.12,12,Low Digitalization
40,Pleau,Management,2013,545,12,6,6,0.48,48,Medium-Low Digitalization
40,Pleau,Management,2013,546,10,1,9,0.12,12,Low Digitalization
40,Pleau,Management,2013,547,14,5,9,0.37,37,Medium-Low Digitalization
41,Millon,Management,2013,548,49,8,41,0.17,17,Low Digitalization
41,Millon,Management,2013,549,19,7,12,0.36,36,Medium-Low Digitalization
41,Millon,Management,2013,550,12,2,10,0.16,16,Low Digitalization
41,Millon,Management,2013,551,34,6,28,0.17,17,Low Digitalization
41,Millon,Management,2013,552,8,3,5,0.33,33,Medium-Low Digitalization
41,Millon,Management,2013,553,37,7,30,0.19,19,Low Digitalization
41,Millon,Management,2013,554,25,12,13,0.47,47,Medium-Low Digitalization
41,Millon,Management,2013,555,34,16,18,0.48,48,Medium-Low Digitalization
41,Millon,Management,2013,556,24,1,23,0.04,4,Low Digitalization
41,Millon,Management,2013,557,53,6,47,0.12,12,Low Digitalization
41,Millon,Management,2013,558,8,4,4,0.47,47,Medium-Low Digitalization
41,Millon,Management,2013,559,30,14,16,0.46,46,Medium-Low Digitalization
41,Millon,Management,2013,560,40,13,27,0.32,32,Medium-Low Digitalization
42,Sandoz,Management,2013,561,27,1,26,0.05,5,Low Digitalization
42,Sandoz,Management,2013,562,54,4,50,0.07,7,Low Digitalization
42,Sandoz,Management,2013,563,30,14,16,0.45,45,Medium-Low Digitalization
42,Sandoz,Management,2013,564,19,8,11,0.44,44,Medium-Low Digitalization
42,Sandoz,Management,2013,565,13,2,11,0.12,12,Low Digitalization
42,Sandoz,Management,2013,566,35,2,33,0.05,5,Low Digitalization
42,Sandoz,Management,2013,567,19,6,13,0.29,28,Medium-Low Digitalization
42,Sandoz,Management,2013,568,7,3,4,0.43,43,Medium-Low Digitalization
42,Sandoz,Management,2013,569,24,1,23,0.05,5,Low Digitalization
42,Sandoz,Management,2013,570,10,1,9,0.1,10,Low Digitalization
42,Sandoz,Management,2013,571,16,4,12,0.23,23,Medium-Low Digitalization
42,Sandoz,Management,2013,572,9,2,7,0.27,27,Medium-Low Digitalization
42,Sandoz,Management,2013,573,22,4,18,0.16,16,Low Digitalization
42,Sandoz,Management,2013,574,7,3,4,0.43,43,Medium-Low Digitalization
42,Sandoz,Management,2013,575,10,1,9,0.14,14,Low Digitalization
42,Sandoz,Management,2013,576,19,8,11,0.41,41,Medium-Low Digitalization
42,Sandoz,Management,2013,577,5,2,3,0.43,43,Medium-Low Digitalization
42,Sandoz,Management,2013,578,34,17,17,0.49,49,Medium-Low Digitalization
42,Sandoz,Management,2013,579,8,1,7,0.17,17,Low Digitalization
43,Totin,Management,2013,580,33,16,17,0.47,47,Medium-Low Digitalization
43,Totin,Management,2013,581,12,0,12,0.02,2,Low Digitalization
43,Totin,Management,2013,582,15,6,9,0.39,39,Medium-Low Digitalization
43,Totin,Management,2013,583,34,7,27,0.21,21,Medium-Low Digitalization
43,Totin,Management,2013,584,33,14,19,0.41,41,Medium-Low Digitalization
43,Totin,Management,2013,585,53,10,43,0.18,18,Low Digitalization
43,Totin,Management,2013,586,10,2,8,0.21,21,Medium-Low Digitalization
37,Gayton,Management,2014,499,26,4,22,0.14,13,Low Digitalization
