,Teacher_ID,Teacher_Name,Department,Year,Course_ID,Course_Duration,Course_Digit,Course_Present,Digit_Ratio,Digit_Percentage,Digitalization,Duration_Video,Duration_Quiz,Duration_Exam,Number_Video,Number_Quiz,Number_Exam,Number_Ressources,Number_Video_1H,Number_Video_2H,Number_Video_3H,Number_Video_4H,Number_Quiz_1H,Number_Quiz_2H,Number_Exam_1H,Number_Exam_2H,Number_Exam_3H,Number_Exam_4H
0,1,Michelin,Languages,2013,1,15,6,9,0.39,39,Medium-Low Digitalization,3,2,1,3,1,1,5,3,0,0,0,0,1,1,0,0,0
1,1,Michelin,Languages,2013,2,49,2,47,0.05,5,Low Digitalization,1,1,0,1,1,0,2,1,0,0,0,1,0,0,0,0,0
2,1,Michelin,Languages,2013,3,46,9,37,0.19,19,Low Digitalization,3,4,2,3,4,1,8,3,0,0,0,4,0,0,1,0,0
3,1,Michelin,Languages,2013,4,28,13,15,0.48,48,Medium-Low Digitalization,9,4,0,8,3,0,11,7,1,0,0,2,1,0,0,0,0
4,1,Michelin,Languages,2013,5,30,4,26,0.13,13,Low Digitalization,1,2,1,1,1,1,3,1,0,0,0,0,1,1,0,0,0
5,1,Michelin,Languages,2013,6,5,0,5,0.08,8,Low Digitalization,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,1,Michelin,Languages,2013,7,14,5,9,0.34,34,Medium-Low Digitalization,1,3,1,1,3,1,5,1,0,0,0,3,0,1,0,0,0
7,1,Michelin,Languages,2013,8,15,5,10,0.31,31,Medium-Low Digitalization,3,2,0,3,1,0,4,3,0,0,0,0,1,0,0,0,0
8,1,Michelin,Languages,2013,9,36,10,26,0.29,28,Medium-Low Digitalization,4,5,1,4,3,1,8,4,0,0,0,1,2,1,0,0,0
9,1,Michelin,Languages,2013,10,16,8,8,0.47,47,Medium-Low Digitalization,5,2,1,2,2,1,5,0,1,1,0,2,0,1,0,0,0
10,1,Michelin,Languages,2013,11,60,3,57,0.05,5,Low Digitalization,1,2,0,1,1,0,2,1,0,0,0,0,1,0,0,0,0
11,1,Michelin,Languages,2013,12,26,7,19,0.27,27,Medium-Low Digitalization,3,3,1,3,2,1,6,3,0,0,0,1,1,1,0,0,0
12,1,Michelin,Languages,2013,13,5,1,4,0.11,11,Low Digitalization,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
13,1,Michelin,Languages,2013,14,15,2,13,0.12,12,Low Digitalization,1,1,0,1,1,0,2,1,0,0,0,1,0,0,0,0,0
