,Unnamed: 0,Teacher_ID,Teacher_Name,Department,Year,Course_ID,Course_Duration,Course_Digit,Course_Present,Digit_Ratio,Digit_Percentage,Digitalization,Duration_Video,Duration_Quiz,Duration_Exam,Number_Video,Number_Quiz,Number_Exam,Number_Ressources,Number_Video_1H,Number_Video_2H,Number_Video_3H,Number_Video_4H,Number_Quiz_1H,Number_Quiz_2H,Number_Exam_1H,Number_Exam_2H,Number_Exam_3H,Number_Exam_4H,Basic_Sequence,Advanced_Sequence
0,0,1,Michelin,Languages,2013,1,15,6,9,0.39,39,Medium-Low Digitalization,3,2,1,3,1,1,5,3,0,0,0,0,1,1,0,0,0,Quiz-Vid-Vid-Vid-Exam,Vid1H-Vid1H-Vid1H-Quiz2H-Exam1H
1,8,1,Michelin,Languages,2013,2,49,2,47,0.05,5,Low Digitalization,1,1,0,1,1,0,2,1,0,0,0,1,0,0,0,0,0,Vid-Quiz,Vid1H-Quiz1H
2,16,1,Michelin,Languages,2013,3,46,9,37,0.19,19,Low Digitalization,5,4,0,5,4,0,9,5,0,0,0,4,0,0,0,0,0,Vid-Quiz-Quiz-Vid-Vid-Vid-Quiz-Quiz-Vid,Vid1H-Quiz1H-Vid1H-Vid1H-Quiz1H-Vid1H-Quiz1H-Vid1H-Quiz1H
3,24,1,Michelin,Languages,2013,4,28,13,15,0.48,48,Medium-Low Digitalization,5,6,2,3,3,2,8,1,2,0,0,0,3,2,0,0,0,Vid-Quiz-Quiz-Exam-Vid-Exam-Vid-Quiz,Vid1H-Quiz2H-Vid2H-Exam1H-Vid2H-Exam1H-Quiz2H-Quiz2H
4,32,1,Michelin,Languages,2013,5,30,4,26,0.13,13,Low Digitalization,1,2,1,1,1,1,3,1,0,0,0,0,1,1,0,0,0,Vid-Quiz-Exam,Exam1H-Vid1H-Quiz2H
5,40,1,Michelin,Languages,2013,6,5,0,5,0.08,8,Low Digitalization,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
6,48,1,Michelin,Languages,2013,7,14,5,9,0.34,34,Medium-Low Digitalization,1,3,1,1,3,1,5,1,0,0,0,3,0,1,0,0,0,Quiz-Exam-Vid-Quiz-Quiz,Quiz1H-Quiz1H-Exam1H-Vid1H-Quiz1H
7,56,1,Michelin,Languages,2013,8,15,5,10,0.31,31,Medium-Low Digitalization,3,2,0,2,2,0,4,1,1,0,0,2,0,0,0,0,0,Vid-Quiz-Vid-Quiz,Vid1H-Vid2H-Quiz1H-Quiz1H
8,64,1,Michelin,Languages,2013,9,36,10,26,0.29,28,Medium-Low Digitalization,3,4,3,3,4,2,9,3,0,0,0,4,0,1,1,0,0,Exam-Exam-Vid-Vid-Quiz-Vid-Quiz-Quiz-Quiz,Quiz1H-Quiz1H-Exam1H-Vid1H-Vid1H-Exam2H-Vid1H-Quiz1H-Quiz1H
9,72,1,Michelin,Languages,2013,10,16,8,8,0.47,47,Medium-Low Digitalization,4,3,1,4,2,1,7,4,0,0,0,1,1,1,0,0,0,Vid-Exam-Vid-Quiz-Vid-Quiz-Vid,Vid1H-Vid1H-Exam1H-Vid1H-Quiz1H-Vid1H-Quiz2H
