Teacher_ID,Teacher_Name,Department,Year,Course_ID,Course_Duration,Course_Digit,Course_Present,Digit_Ratio,Digit_Percentage,Digitalization
1,Michelin,Languages,2013,1,15,6,9,0.39,39,Medium-Low Digitalization
1,Michelin,Languages,2013,2,49,2,47,0.05,5,Low Digitalization
1,Michelin,Languages,2013,3,46,9,37,0.19,19,Low Digitalization
1,Michelin,Languages,2013,4,28,13,15,0.48,48,Medium-Low Digitalization
1,Michelin,Languages,2013,5,30,4,26,0.13,13,Low Digitalization
1,Michelin,Languages,2013,6,5,0,5,0.08,8,Low Digitalization
1,Michelin,Languages,2013,7,14,5,9,0.34,34,Medium-Low Digitalization
1,Michelin,Languages,2013,8,15,5,10,0.31,31,Medium-Low Digitalization
1,Michelin,Languages,2013,9,36,10,26,0.29,28,Medium-Low Digitalization
1,Michelin,Languages,2013,10,16,8,8,0.47,47,Medium-Low Digitalization
1,Michelin,Languages,2013,11,60,3,57,0.05,5,Low Digitalization
1,Michelin,Languages,2013,12,26,7,19,0.27,27,Medium-Low Digitalization
1,Michelin,Languages,2013,13,5,1,4,0.11,11,Low Digitalization
1,Michelin,Languages,2013,14,15,2,13,0.12,12,Low Digitalization
1,Michelin,Languages,2013,15,38,0,38,0.01,1,Low Digitalization
2,Pinsonneault,Languages,2013,16,5,1,4,0.24,24,Medium-Low Digitalization
2,Pinsonneault,Languages,2013,17,32,4,28,0.14,14,Low Digitalization
2,Pinsonneault,Languages,2013,18,11,0,11,0.03,3,Low Digitalization
2,Pinsonneault,Languages,2013,19,8,1,7,0.14,14,Low Digitalization
2,Pinsonneault,Languages,2013,20,17,0,17,0.02,2,Low Digitalization
2,Pinsonneault,Languages,2013,21,9,4,5,0.41,41,Medium-Low Digitalization
2,Pinsonneault,Languages,2013,22,15,0,15,0.02,2,Low Digitalization
2,Pinsonneault,Languages,2013,23,27,10,17,0.36,36,Medium-Low Digitalization
2,Pinsonneault,Languages,2013,24,5,1,4,0.2,20,Low Digitalization
2,Pinsonneault,Languages,2013,25,25,11,14,0.44,44,Medium-Low Digitalization
2,Pinsonneault,Languages,2013,26,49,0,49,0.01,1,Low Digitalization
2,Pinsonneault,Languages,2013,27,37,7,30,0.18,18,Low Digitalization
2,Pinsonneault,Languages,2013,28,36,14,22,0.38,38,Medium-Low Digitalization
2,Pinsonneault,Languages,2013,29,19,4,15,0.19,19,Low Digitalization
2,Pinsonneault,Languages,2013,30,6,1,5,0.14,14,Low Digitalization
2,Pinsonneault,Languages,2013,31,12,0,12,0.0,0,Low Digitalization
2,Pinsonneault,Languages,2013,32,32,13,19,0.42,42,Medium-Low Digitalization
2,Pinsonneault,Languages,2013,33,19,1,18,0.04,4,Low Digitalization
2,Pinsonneault,Languages,2013,34,13,3,10,0.2,20,Low Digitalization
3,Legard,Languages,2013,35,40,17,23,0.42,42,Medium-Low Digitalization
3,Legard,Languages,2013,36,13,6,7,0.43,43,Medium-Low Digitalization
3,Legard,Languages,2013,37,54,4,50,0.07,7,Low Digitalization
3,Legard,Languages,2013,38,52,2,50,0.04,4,Low Digitalization
3,Legard,Languages,2013,39,40,9,31,0.22,22,Medium-Low Digitalization
4,Nolet,Languages,2013,40,25,8,17,0.32,32,Medium-Low Digitalization
4,Nolet,Languages,2013,41,7,3,4,0.42,42,Medium-Low Digitalization
4,Nolet,Languages,2013,42,37,3,34,0.07,7,Low Digitalization
4,Nolet,Languages,2013,43,56,4,52,0.08,8,Low Digitalization
4,Nolet,Languages,2013,44,30,4,26,0.12,12,Low Digitalization
4,Nolet,Languages,2013,45,30,2,28,0.08,8,Low Digitalization
4,Nolet,Languages,2013,46,9,1,8,0.06,6,Low Digitalization
4,Nolet,Languages,2013,47,32,3,29,0.08,8,Low Digitalization
4,Nolet,Languages,2013,48,48,9,39,0.19,19,Low Digitalization
4,Nolet,Languages,2013,49,13,4,9,0.32,32,Medium-Low Digitalization
4,Nolet,Languages,2013,50,40,4,36,0.1,10,Low Digitalization
4,Nolet,Languages,2013,51,5,0,5,0.02,2,Low Digitalization
4,Nolet,Languages,2013,52,11,4,7,0.33,33,Medium-Low Digitalization
4,Nolet,Languages,2013,53,31,6,25,0.19,19,Low Digitalization
5,Herpin,Languages,2013,54,32,13,19,0.4,40,Medium-Low Digitalization
5,Herpin,Languages,2013,55,18,6,12,0.34,34,Medium-Low Digitalization
5,Herpin,Languages,2013,56,15,7,8,0.49,49,Medium-Low Digitalization
5,Herpin,Languages,2013,57,36,17,19,0.47,47,Medium-Low Digitalization
5,Herpin,Languages,2013,58,12,0,12,0.02,2,Low Digitalization
5,Herpin,Languages,2013,59,40,16,24,0.39,39,Medium-Low Digitalization
5,Herpin,Languages,2013,60,6,1,5,0.21,21,Medium-Low Digitalization
5,Herpin,Languages,2013,61,10,2,8,0.17,17,Low Digitalization
5,Herpin,Languages,2013,62,15,2,13,0.15,15,Low Digitalization
6,Barre,Languages,2013,63,45,18,27,0.4,40,Medium-Low Digitalization
6,Barre,Languages,2013,64,56,25,31,0.44,44,Medium-Low Digitalization
6,Barre,Languages,2013,65,15,0,15,0.02,2,Low Digitalization
6,Barre,Languages,2013,66,33,15,18,0.46,46,Medium-Low Digitalization
6,Barre,Languages,2013,67,27,11,16,0.39,39,Medium-Low Digitalization
6,Barre,Languages,2013,68,12,4,8,0.34,34,Medium-Low Digitalization
7,Mathia,Languages,2013,69,5,2,3,0.38,38,Medium-Low Digitalization
7,Mathia,Languages,2013,70,15,3,12,0.2,20,Low Digitalization
7,Mathia,Languages,2013,71,16,7,9,0.43,43,Medium-Low Digitalization
7,Mathia,Languages,2013,72,21,7,14,0.35,35,Medium-Low Digitalization
7,Mathia,Languages,2013,73,33,6,27,0.19,19,Low Digitalization
7,Mathia,Languages,2013,74,26,5,21,0.18,18,Low Digitalization
7,Mathia,Languages,2013,75,12,3,9,0.26,26,Medium-Low Digitalization
7,Mathia,Languages,2013,76,8,0,8,0.03,3,Low Digitalization
7,Mathia,Languages,2013,77,36,5,31,0.13,13,Low Digitalization
7,Mathia,Languages,2013,78,25,5,20,0.19,19,Low Digitalization
8,Giard,History,2013,79,58,6,52,0.11,11,Low Digitalization
8,Giard,History,2013,80,34,9,25,0.26,26,Medium-Low Digitalization
8,Giard,History,2013,81,34,3,31,0.08,8,Low Digitalization
8,Giard,History,2013,82,26,8,18,0.31,31,Medium-Low Digitalization
8,Giard,History,2013,83,24,5,19,0.2,20,Low Digitalization
8,Giard,History,2013,84,7,1,6,0.14,14,Low Digitalization
