,Department,Teacher_ID,Teacher_Name,Year,Course_ID,Course_Duration,Course_Ressources,Course_Ress_Digit,Course_Ress_inClass,Digitalization_Ressource_Ratio,Digitalization_Ressource_Percent,Number_Video,Number_QCM,Number_Test,Number_Lecture,Number_Exercise,Number_Exam,Sequence
0,Economy,1,Lenoir,2013,1,14,4,2,2,0.5,50,2,0,0,2,0,0,Lecture-Video-Video-Lecture
1,Economy,1,Lenoir,2013,2,22,12,2,10,0.17,17,1,1,0,7,3,0,Video-Lecture-Exercise-QCM-Lecture-Lecture-Lecture-Lecture-Exercise-Exercise-Lecture-Lecture
2,Economy,1,Lenoir,2013,3,17,17,5,12,0.29,29,1,3,1,7,4,1,Lecture-QCM-Lecture-Lecture-Lecture-Lecture-Exercise-Lecture-Test-Exercise-QCM-QCM-Video-Exercise-Exercise-Lecture-Examen
3,Economy,1,Lenoir,2013,4,15,6,2,4,0.33,33,2,0,0,2,1,1,Lecture-Exercise-Lecture-Video-Video-Examen
4,Economy,1,Lenoir,2013,5,37,25,3,22,0.12,12,2,1,0,15,7,0,Lecture-Lecture-Lecture-Lecture-Exercise-QCM-Lecture-Exercise-Exercise-Lecture-Exercise-Lecture-Exercise-Video-Exercise-Exercise-Lecture-Lecture-Lecture-Lecture-Lecture-Video-Lecture-Lecture-Lecture
5,Economy,1,Lenoir,2013,6,19,5,2,3,0.4,40,2,0,0,2,1,0,Exercise-Lecture-Lecture-Video-Video
6,Economy,1,Lenoir,2013,7,20,10,5,5,0.5,50,1,3,1,3,1,1,QCM-Lecture-Exercise-Video-Test-Lecture-QCM-QCM-Lecture-Examen
7,Economy,1,Lenoir,2013,8,11,7,3,4,0.43,43,3,0,0,1,2,1,Lecture-Video-Exercise-Video-Exercise-Video-Examen
8,Economy,1,Lenoir,2013,9,6,3,1,2,0.33,33,1,0,0,2,0,0,Lecture-Lecture-Video
9,Economy,1,Lenoir,2013,10,16,5,2,3,0.4,40,1,1,0,2,1,0,Exercise-Lecture-QCM-Lecture-Video
10,Economy,1,Lenoir,2013,11,30,11,1,10,0.09,9,1,0,0,7,2,1,Lecture-Lecture-Lecture-Video-Lecture-Lecture-Lecture-Exercise-Lecture-Exercise-Examen
11,Economy,1,Lenoir,2013,12,18,5,1,4,0.2,20,0,1,0,2,2,0,Lecture-Exercise-QCM-Lecture-Exercise
12,Economy,1,Lenoir,2013,13,24,15,4,11,0.27,27,3,1,0,7,4,0,Lecture-Exercise-QCM-Video-Video-Exercise-Lecture-Video-Lecture-Lecture-Lecture-Lecture-Lecture-Exercise-Exercise
13,Economy,1,Lenoir,2013,14,9,4,2,2,0.5,50,1,1,0,2,0,0,Video-Lecture-QCM-Lecture
14,Economy,1,Lenoir,2013,15,10,8,3,5,0.38,38,1,1,1,4,1,0,Exercise-Video-Lecture-Lecture-Lecture-Lecture-QCM-Test
15,Economy,1,Lenoir,2013,16,25,24,8,16,0.33,33,5,3,0,11,4,1,Lecture-Video-Exercise-Video-Lecture-Lecture-QCM-Video-Exercise-Lecture-Video-Exercise-Lecture-QCM-Lecture-Lecture-Exercise-Lecture-QCM-Lecture-Lecture-Video-Lecture-Examen
16,Economy,1,Lenoir,2013,17,8,5,1,4,0.2,20,0,1,0,1,2,1,Exercise-QCM-Lecture-Exercise-Examen
17,Economy,1,Lenoir,2013,18,5,4,2,2,0.5,50,1,1,0,1,1,0,QCM-Video-Exercise-Lecture
