,Teacher_Name,Department,Year,Course_ID,Course_Duration,Course_Digit,Course_Present,Digit_Ratio,Digit_Percentage,Digitalization,Duration_Video,Duration_QCM,Duration_Exam,Number_Video,Number_QCM,Number_Exam,Number_Ressources,Number_Video_1H,Number_Video_2H,Number_Video_3H,Number_Video_4H,Number_QCM_1H,Number_QCM_2H,Number_Exam_1H,Number_Exam_2H,Number_Exam_3H,Number_Exam_4H,Basic_Sequence,Advanced_Sequence
0,Michelin,Languages,2013,1,15,6,9,0.39,39,Medium-Low Digitalization,2,3,1,1,3,1,5,0,1,0,0,3,0,1,0,0,0,QCM-QCM-QCM-Video-Exam,QCM Duration: 1H-QCM Duration: 1H-QCM Duration: 1H-Video Duration: 2H-Exam Duration: 1H
1,Michelin,Languages,2013,2,49,2,47,0.05,5,Low Digitalization,1,1,0,1,1,0,2,1,0,0,0,1,0,0,0,0,0,QCM-Video,QCM Duration: 1H-Video Duration: 1H
2,Michelin,Languages,2013,3,46,9,37,0.19,19,Low Digitalization,5,3,1,2,2,1,5,1,0,0,1,1,1,1,0,0,0,Video-QCM-QCM-Video-Exam,Video Duration: 1H-QCM Duration: 1H-QCM Duration: 2H-Video Duration: 4H-Exam Duration: 1H
3,Michelin,Languages,2013,4,28,13,15,0.48,48,Medium-Low Digitalization,7,6,0,3,6,0,9,1,0,2,0,6,0,0,0,0,0,Video-QCM-Video-QCM-QCM-QCM-Video-QCM-QCM,Video Duration: 3H-QCM Duration: 1H-Video Duration: 1H-QCM Duration: 1H-QCM Duration: 1H-QCM Duration: 1H-Video Duration: 3H-QCM Duration: 1H-QCM Duration: 1H
4,Michelin,Languages,2013,5,30,4,26,0.13,13,Low Digitalization,1,2,1,1,1,1,3,1,0,0,0,0,1,1,0,0,0,Video-QCM-Exam,Video Duration: 1H-QCM Duration: 2H-Exam Duration: 1H
5,Michelin,Languages,2013,6,5,0,5,0.08,8,Low Digitalization,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
6,Michelin,Languages,2013,7,14,5,9,0.34,34,Medium-Low Digitalization,2,2,1,2,1,1,4,2,0,0,0,0,1,1,0,0,0,Video-QCM-Video-Exam,Video Duration: 1H-QCM Duration: 2H-Video Duration: 1H-Exam Duration: 1H
7,Michelin,Languages,2013,8,15,5,10,0.31,31,Medium-Low Digitalization,2,2,1,1,1,1,3,0,1,0,0,0,1,1,0,0,0,QCM-Video-Exam,QCM Duration: 2H-Video Duration: 2H-Exam Duration: 1H
8,Michelin,Languages,2013,9,36,10,26,0.29,28,Medium-Low Digitalization,7,2,1,2,1,1,4,0,0,1,1,0,1,1,0,0,0,Video-Video-QCM-Exam,Video Duration: 3H-Video Duration: 4H-QCM Duration: 2H-Exam Duration: 1H
9,Michelin,Languages,2013,10,16,8,8,0.47,47,Medium-Low Digitalization,5,3,0,3,3,0,6,1,2,0,0,3,0,0,0,0,0,Video-QCM-QCM-QCM-Video-Video,Video Duration: 2H-QCM Duration: 1H-QCM Duration: 1H-QCM Duration: 1H-Video Duration: 1H-Video Duration: 2H
10,Michelin,Languages,2013,11,60,3,57,0.05,5,Low Digitalization,2,1,0,2,1,0,3,2,0,0,0,1,0,0,0,0,0,QCM-Video-Video,QCM Duration: 1H-Video Duration: 1H-Video Duration: 1H
11,Michelin,Languages,2013,12,26,7,19,0.27,27,Medium-Low Digitalization,3,4,0,1,4,0,5,0,0,1,0,4,0,0,0,0,0,Video-QCM-QCM-QCM-QCM,Video Duration: 3H-QCM Duration: 1H-QCM Duration: 1H-QCM Duration: 1H-QCM Duration: 1H
12,Michelin,Languages,2013,13,5,1,4,0.11,11,Low Digitalization,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,QCM,QCM Duration: 1H
13,Michelin,Languages,2013,14,15,2,13,0.12,12,Low Digitalization,1,1,0,1,1,0,2,1,0,0,0,1,0,0,0,0,0,QCM-Video,QCM Duration: 1H-Video Duration: 1H
14,Michelin,Languages,2013,15,38,0,38,0.01,1,Low Digitalization,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
15,Pinsonneault,Languages,2013,16,5,1,4,0.24,24,Medium-Low Digitalization,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,QCM,QCM Duration: 1H
16,Pinsonneault,Languages,2013,17,32,4,28,0.14,14,Low Digitalization,1,2,1,1,1,1,3,1,0,0,0,0,1,1,0,0,0,QCM-Video-Exam,QCM Duration: 2H-Video Duration: 1H-Exam Duration: 1H
17,Pinsonneault,Languages,2013,18,11,0,11,0.03,3,Low Digitalization,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
18,Pinsonneault,Languages,2013,19,8,1,7,0.14,14,Low Digitalization,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,QCM,QCM Duration: 1H
