,Department,Teacher_ID,Teacher_Name,Year,Course_ID,Course_Duration,Course_Resources,Course_Ress_Digit,Course_Ress_inClass,Digitalization_Ressource_Ratio,Digitalization_Ressource_Percent,Departement,Number_Video,Number_QCM,Number_Test,Number_Lecture,Number_Exercise,Number_Exam
0,Computer Science,1,Galle,2013,1,35,20,2,18,0.1,10,Informatique,1,1,0,12,6,0
1,Computer Science,1,Galle,2013,2,8,7,1,6,0.14,14,Informatique,1,0,0,3,2,1
2,Computer Science,1,Galle,2013,3,28,19,3,16,0.16,16,Informatique,1,1,1,10,5,1
3,Computer Science,1,Galle,2013,4,20,5,1,4,0.2,20,Informatique,0,1,0,2,2,0
4,Computer Science,1,Galle,2013,5,32,23,4,19,0.17,17,Informatique,2,2,0,13,5,1
5,Computer Science,1,Galle,2013,6,51,18,3,15,0.17,17,Informatique,1,2,0,10,4,1
6,Computer Science,1,Galle,2013,7,6,5,1,4,0.2,20,Informatique,1,0,0,2,1,1
7,Computer Science,1,Galle,2013,8,38,30,2,28,0.07,7,Informatique,1,1,0,18,8,2
8,Computer Science,1,Galle,2013,9,11,6,1,5,0.17,17,Informatique,1,0,0,2,2,1
9,Computer Science,1,Galle,2013,10,18,11,2,9,0.18,18,Informatique,1,1,0,5,3,1
10,Computer Science,1,Galle,2013,11,27,19,4,15,0.21,21,Informatique,2,1,1,10,5,0
11,Computer Science,1,Galle,2013,12,6,4,1,3,0.25,25,Informatique,0,1,0,2,1,0
12,Computer Science,1,Galle,2013,13,15,7,2,5,0.29,29,Informatique,1,1,0,2,2,1
13,Computer Science,1,Galle,2013,14,40,36,2,34,0.06,6,Informatique,2,0,0,22,10,2
14,Computer Science,1,Galle,2013,15,17,9,1,8,0.11,11,Informatique,1,0,0,5,2,1
15,Computer Science,1,Galle,2013,16,30,16,1,15,0.06,6,Informatique,0,1,0,10,5,0
16,Computer Science,2,Burdin,2013,17,12,5,1,4,0.2,20,Informatique,0,1,0,1,2,1
17,Computer Science,2,Burdin,2013,18,11,10,2,8,0.2,20,Informatique,2,0,0,4,3,1
18,Computer Science,2,Burdin,2013,19,11,9,1,8,0.11,11,Informatique,0,1,0,4,3,1
19,Computer Science,2,Burdin,2013,20,15,14,2,12,0.14,14,Informatique,2,0,0,7,4,1
20,Computer Science,2,Burdin,2013,21,28,23,2,21,0.09,9,Informatique,1,1,0,14,7,0
21,Computer Science,2,Burdin,2013,22,15,13,1,12,0.08,8,Informatique,1,0,0,7,4,1
22,Computer Science,2,Burdin,2013,23,22,21,3,18,0.14,14,Informatique,1,1,1,11,6,1
23,Computer Science,2,Burdin,2013,24,18,15,2,13,0.13,13,Informatique,2,0,0,8,4,1
24,Computer Science,2,Burdin,2013,25,38,36,6,30,0.17,17,Informatique,5,1,0,19,9,2
25,Computer Science,2,Burdin,2013,26,5,3,1,2,0.33,33,Informatique,0,1,0,2,0,0
26,Computer Science,2,Burdin,2013,27,18,6,1,5,0.17,17,Informatique,0,1,0,3,1,1
27,Computer Science,3,Favret,2013,28,15,9,2,7,0.22,22,Informatique,1,1,0,5,1,1
28,Computer Science,3,Favret,2013,29,10,4,1,3,0.25,25,Informatique,0,1,0,1,1,1
29,Computer Science,3,Favret,2013,30,7,2,1,1,0.5,50,Informatique,0,1,0,0,1,0
30,Computer Science,3,Favret,2013,31,8,7,2,5,0.29,29,Informatique,2,0,0,3,1,1
31,Computer Science,3,Favret,2013,32,56,25,2,23,0.08,8,Informatique,1,1,0,15,7,1
32,Computer Science,3,Favret,2013,33,27,24,19,5,0.79,79,Informatique,11,8,0,4,1,0
33,Computer Science,3,Favret,2013,34,36,33,2,31,0.06,6,Informatique,1,1,0,20,9,2
34,Computer Science,3,Favret,2013,35,17,11,1,10,0.09,9,Informatique,1,0,0,6,3,1
35,Computer Science,3,Favret,2013,36,11,3,1,2,0.33,33,Informatique,1,0,0,2,0,0
36,Computer Science,3,Favret,2013,37,12,3,0,3,0.0,0,Informatique,0,0,0,1,1,1
37,Computer Science,3,Favret,2013,38,17,11,0,11,0.0,0,Informatique,0,0,0,7,4,0
38,Computer Science,3,Favret,2013,39,12,4,1,3,0.25,25,Informatique,1,0,0,1,1,1
39,Computer Science,3,Favret,2013,40,13,6,2,4,0.33,33,Informatique,2,0,0,2,1,1
40,Computer Science,3,Favret,2013,41,18,18,4,14,0.22,22,Informatique,1,2,1,9,4,1
41,Computer Science,3,Favret,2013,42,24,22,2,20,0.09,9,Informatique,1,1,0,13,6,1
42,Computer Science,3,Favret,2013,43,30,24,1,23,0.04,4,Informatique,0,1,0,15,6,2
43,Computer Science,3,Favret,2013,44,29,16,3,13,0.19,19,Informatique,2,1,0,8,4,1
44,Computer Science,3,Favret,2013,45,37,10,1,9,0.1,10,Informatique,0,1,0,5,3,1
45,Computer Science,4,Fontenette,2013,46,10,6,1,5,0.17,17,Informatique,1,0,0,3,1,1
46,Computer Science,4,Fontenette,2013,47,14,11,2,9,0.18,18,Informatique,1,1,0,5,3,1
47,Computer Science,4,Fontenette,2013,48,7,4,1,3,0.25,25,Informatique,1,0,0,1,1,1
48,Computer Science,4,Fontenette,2013,49,40,28,2,26,0.07,7,Informatique,1,1,0,16,8,2
49,Computer Science,4,Fontenette,2013,50,8,8,8,0,1.0,100,Informatique,6,1,1,0,0,0
50,Computer Science,4,Fontenette,2013,51,36,35,0,35,0.0,0,Informatique,0,0,0,23,11,1
51,Computer Science,4,Fontenette,2013,52,16,5,1,4,0.2,20,Informatique,1,0,0,3,1,0
52,Computer Science,4,Fontenette,2013,53,25,15,1,14,0.07,7,Informatique,1,0,0,10,3,1
53,Computer Science,4,Fontenette,2013,54,18,8,1,7,0.12,12,Informatique,1,0,0,3,3,1
54,Computer Science,4,Fontenette,2013,55,10,9,1,8,0.11,11,Informatique,0,1,0,6,1,1
55,Computer Science,5,Rogier,2013,56,17,10,2,8,0.2,20,Informatique,1,1,0,5,2,1
56,Computer Science,5,Rogier,2013,57,28,8,1,7,0.12,12,Informatique,1,0,0,5,2,0
57,Computer Science,5,Rogier,2013,58,37,34,5,29,0.15,15,Informatique,1,3,1,18,9,2
58,Computer Science,5,Rogier,2013,59,24,6,1,5,0.17,17,Informatique,1,0,0,3,1,1
59,Computer Science,5,Rogier,2013,60,18,16,1,15,0.06,6,Informatique,0,1,0,10,4,1
60,Computer Science,5,Rogier,2013,61,17,13,3,10,0.23,23,Informatique,1,1,1,7,3,0
61,Computer Science,5,Rogier,2013,62,5,2,1,1,0.5,50,Informatique,1,0,0,1,0,0
62,Computer Science,5,Rogier,2013,63,14,13,1,12,0.08,8,Informatique,0,1,0,8,3,1
63,Computer Science,5,Rogier,2013,64,14,4,0,4,0.0,0,Informatique,0,0,0,1,2,1
64,Computer Science,5,Rogier,2013,65,60,40,3,37,0.07,8,Informatique,1,1,1,23,12,2
65,Computer Science,5,Rogier,2013,66,8,2,1,1,0.5,50,Informatique,0,1,0,0,1,0
66,Computer Science,5,Rogier,2013,67,28,27,5,22,0.19,19,Informatique,1,3,1,15,5,2
67,Computer Science,5,Rogier,2013,68,24,24,2,22,0.08,8,Informatique,2,0,0,15,6,1
68,Computer Science,5,Rogier,2013,69,32,13,3,10,0.23,23,Informatique,2,1,0,6,3,1
69,Computer Science,5,Rogier,2013,70,52,30,6,24,0.2,20,Informatique,2,3,1,15,7,2
70,Computer Science,6,Fier,2013,71,14,13,2,11,0.15,15,Informatique,1,1,0,8,2,1
71,Computer Science,6,Fier,2013,72,27,13,1,12,0.08,8,Informatique,0,1,0,8,3,1
72,Computer Science,6,Fier,2013,73,29,9,1,8,0.11,11,Informatique,0,1,0,5,3,0
73,Computer Science,6,Fier,2013,74,29,24,5,19,0.21,21,Informatique,2,3,0,13,5,1
74,Computer Science,6,Fier,2013,75,32,18,3,15,0.17,17,Informatique,2,1,0,10,5,0
75,Computer Science,6,Fier,2013,76,6,5,1,4,0.2,20,Informatique,1,0,0,2,1,1
76,Computer Science,6,Fier,2013,77,33,22,1,21,0.05,5,Informatique,0,1,0,13,6,2
77,Computer Science,6,Fier,2013,78,14,12,2,10,0.17,17,Informatique,1,1,0,7,3,0
78,Computer Science,7,Amirault,2013,79,19,10,2,8,0.2,20,Informatique,1,1,0,5,2,1
79,Computer Science,7,Amirault,2013,80,38,19,1,18,0.05,5,Informatique,1,0,0,12,6,0
80,Computer Science,7,Amirault,2013,81,8,4,1,3,0.25,25,Informatique,1,0,0,2,1,0
81,Computer Science,7,Amirault,2013,82,7,6,1,5,0.17,17,Informatique,0,1,0,3,1,1
82,Computer Science,7,Amirault,2013,83,35,11,2,9,0.18,18,Informatique,1,1,0,6,3,0
83,Computer Science,7,Amirault,2013,84,5,5,1,4,0.2,20,Informatique,1,0,0,2,1,1
84,Computer Science,7,Amirault,2013,85,49,45,3,42,0.07,7,Informatique,2,1,0,28,11,3
85,Computer Science,7,Amirault,2013,86,23,9,1,8,0.11,11,Informatique,0,1,0,6,1,1
86,Computer Science,7,Amirault,2013,87,8,4,1,3,0.25,25,Informatique,0,1,0,2,1,0
87,Computer Science,7,Amirault,2013,88,10,10,2,8,0.2,20,Informatique,2,0,0,4,3,1
88,Computer Science,7,Amirault,2013,89,6,4,1,3,0.25,25,Informatique,0,1,0,1,1,1
