,Department,Teacher_ID,Teacher_Name,Year,Course_ID,Course_Duration,Course_Resources,Course_Ress_Digit,Course_Ress_inClass,Digitalization_Ressource_Ratio,Digitalization_Ressource_Percent,Departement,Number_Video,Number_QCM,Number_Test,Number_Lecture,Number_Exercise,Number_Exam,Sequence
0,Computer Science,1,Galle,2013,1,35,20,2,18,0.1,10,Informatique,1,1,0,12,6,0,Exercise-Lecture-Lecture-Video-QCM-Lecture-Exercise-Exercise-Exercise-Lecture-Lecture-Lecture-Lecture-Lecture-Lecture-Lecture-Lecture-Exercise-Lecture-Exercise
1,Computer Science,1,Galle,2013,2,8,7,1,6,0.14,14,Informatique,1,0,0,3,2,1,Lecture-Lecture-Video-Lecture-Exercise-Exercise-Examen
2,Computer Science,1,Galle,2013,3,28,19,3,16,0.16,16,Informatique,1,1,1,10,5,1,Lecture-Exercise-Exercise-Lecture-Exercise-Lecture-Video-Lecture-Lecture-Test-Lecture-Lecture-Exercise-QCM-Lecture-Lecture-Exercise-Lecture-Examen
3,Computer Science,1,Galle,2013,4,20,5,1,4,0.2,20,Informatique,0,1,0,2,2,0,QCM-Lecture-Exercise-Lecture-Exercise
4,Computer Science,1,Galle,2013,5,32,23,4,19,0.17,17,Informatique,2,2,0,13,5,1,Lecture-Lecture-Exercise-Lecture-Lecture-Lecture-Lecture-Exercise-Lecture-Lecture-Lecture-QCM-Lecture-Lecture-QCM-Exercise-Video-Lecture-Video-Exercise-Lecture-Exercise-Examen
5,Computer Science,1,Galle,2013,6,51,18,3,15,0.17,17,Informatique,1,2,0,10,4,1,Lecture-Exercise-Exercise-Exercise-Lecture-Lecture-Lecture-Exercise-QCM-Lecture-Lecture-Video-Lecture-Lecture-QCM-Lecture-Lecture-Examen
6,Computer Science,1,Galle,2013,7,6,5,1,4,0.2,20,Informatique,1,0,0,2,1,1,Video-Lecture-Lecture-Exercise-Examen
7,Computer Science,1,Galle,2013,8,38,30,2,28,0.07,7,Informatique,1,1,0,18,8,2,Lecture-Lecture-Exercise-Exercise-Lecture-Lecture-Lecture-Exercise-Lecture-Exercise-Exercise-Lecture-Lecture-Lecture-Examen-Lecture-Exercise-Lecture-Lecture-QCM-Lecture-Lecture-Lecture-Exercise-Video-Lecture-Lecture-Lecture-Exercise-Examen
8,Computer Science,1,Galle,2013,9,11,6,1,5,0.17,17,Informatique,1,0,0,2,2,1,Lecture-Video-Exercise-Exercise-Lecture-Examen
9,Computer Science,1,Galle,2013,10,18,11,2,9,0.18,18,Informatique,1,1,0,5,3,1,QCM-Lecture-Exercise-Lecture-Lecture-Lecture-Exercise-Exercise-Video-Lecture-Examen
